Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat
Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,2999.0,18625.0,Manual,Medium
Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,13300.0,5427.6,Automatic,Small
Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,12400.0,23333.333333333332,Automatic,Medium
Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,8990.0,16600.0,Automatic,Medium
Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,8990.0,17153.846153846152,Automatic,Medium
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,5350.0,12410.1875,Automatic,Medium
Volvo,S80,2000,Sedan,202698.0,2800.0,Petrol,3999.0,9213.545454545454,Automatic,Small
Rare,Freelander,2000,SUV,230000.0,2000.0,Diesel,2750.0,10454.545454545454,Manual,Medium
BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,34000.0,20500.0,Automatic,Medium
Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,2700.0,9272.925925925925,Manual,Small
KIA,Magentis,2005,Sedan,250632.0,2000.0,Metan/Propan,2690.0,14743.058823529413,Manual,Medium
Rare,Inca,1998,Combi,300000.0,1900.0,Diesel,1450.0,12500.0,Manual,Medium
Skoda,Fabia,2012,Minivan,165500.0,1200.0,Diesel,5100.0,16550.0,Manual,Medium
Mitsubishi,Outlander,2011,SUV,248000.0,2000.0,Petrol,9900.0,22545.454545454544,Automatic,Medium
Ford,Focus,2016,Universal,170000.0,1499.0,Diesel,8890.0,28333.333333333332,Manual,Medium
Renault,Megane,2008,Universal,245000.0,1500.0,Diesel,3600.0,17500.0,Manual,Medium
Honda,Civic,1999,Universal,290000.0,1500.0,Petrol,1800.0,12608.695652173914,Manual,Medium
Hyundai,Tucson,2014,Crossover,120000.0,200.0,Metan/Propan,12000.0,15000.0,Automatic,Medium
Renault,Clio Symbol,2007,Sedan,211000.0,1400.0,Petrol,2900.0,14066.666666666666,Manual,Medium
Audi,A4,2012,Sedan,166700.0,2000.0,Petrol,10200.0,16670.0,Automatic,Medium
Audi,A3 e-tron,2016,Hatchback,145000.0,1400.0,Electric,16450.0,24166.666666666668,Automatic,Medium
Lexus,CT Series,2014,Sedan,81700.0,1800.0,Hybrid,12450.0,10212.5,Automatic,Medium
Toyota,Auris,2013,Universal,142865.0,1400.0,Diesel,8700.0,15873.888888888889,Manual,Medium
Vaz,2107,2007,Sedan,135865.0,1400.0,Petrol,1500.0,9057.666666666666,Manual,Small
Renault,Grand Scenic,2013,Minivan,181000.0,1500.0,Diesel,7000.0,20111.11111111111,Automatic,Medium
Skoda,Octavia,2014,Universal,155000.0,1400.0,Petrol,9700.0,19375.0,Automatic,Medium
Skoda,Octavia,2015,Sedan,164000.0,1600.0,Diesel,12750.0,23428.571428571428,Automatic,Medium
Volkswagen,Scirocco,2010,Coupe,150589.0,1400.0,Petrol,7999.0,12549.083333333334,Manual,Medium
Ford,Focus,2015,Universal,152523.0,1500.0,Diesel,9300.0,21789.0,Automatic,Medium
Opel,Astra,2007,Universal,190000.0,1300.0,Diesel,4499.0,12666.666666666666,Manual,Medium
Toyota,Avensis,2014,Universal,165000.0,2000.0,Diesel,15600.0,20625.0,Manual,Medium
BMW,7 Series,2006,Sedan,260000.0,3000.0,Diesel,11000.0,16250.0,Automatic,Medium
Toyota,Auris,2011,Hatchback,182251.0,1798.0,Hybrid,8200.0,16568.272727272728,Automatic,Medium
Rare,Grande Punto,2008,Hatchback,185000.0,1300.0,Diesel,3600.0,13214.285714285714,Automatic,Medium
Chevrolet,Aveo,2012,Hatchback,187000.0,1300.0,Diesel,4600.0,18700.0,Manual,Medium
Renault,Megane,2005,Sedan,190000.0,1500.0,Diesel,3200.0,11176.470588235294,Manual,Medium
Rare,Grand Vitara,2005,SUV,400000.0,2700.0,Petrol,5500.0,23529.41176470588,Automatic,Medium
Volkswagen,Golf,2010,Hatchback,225550.0,2000.0,Petrol,9650.0,18795.833333333332,Automatic,Medium
Rare,Kalos,2003,Hatchback,220000.0,1400.0,Petrol,2000.0,11578.947368421053,Manual,Medium
Nissan,Almera,2003,Hatchback,90000.0,1500.0,Petrol,1000.0,4736.8421052631575,Manual,Small
Renault,Grand Scenic,2013,Minivan,165000.0,1500.0,Diesel,7500.0,18333.333333333332,Manual,Medium
Honda,Clarity,2018,Hatchback,36000.0,1500.0,Plug-in Hybrid,18499.0,9000.0,Automatic,Small
Toyota,Verso,2015,Minivan,102000.0,1800.0,Petrol,12500.0,14571.42857142857,Automatic,Medium
BMW,5 Series,2004,Sedan,2899.0,2500.0,Petrol,6100.0,161.05555555555554,Manual,Small
Mitsubishi,Outlander,2003,Crossover,208367.0,2000.0,Petrol,4600.0,10966.684210526315,Manual,Medium
Volkswagen,Touran,2011,Minivan,168000.0,1400.0,Petrol,7999.0,15272.727272727272,Manual,Medium
Toyota,Prius Prime,2019,Hatchback,2500.0,1800.0,Plug-in Hybrid,18999.0,833.3333333333334,Automatic,Small
Volkswagen,Transporter,2004,Microvan,190000.0,1896.0,Diesel,6300.0,10555.555555555555,Manual,Medium
Skoda,Octavia,2011,Universal,210000.0,1400.0,Petrol,6400.0,19090.909090909092,Manual,Medium
Rare,MKZ,2014,Sedan,160000.0,2000.0,Hybrid,12200.0,20000.0,Automatic,Medium
Renault,Scenic,2004,Universal,180000.0,1500.0,Diesel,3300.0,10000.0,Manual,Small
Mercedes,Series (W123),1984,Universal,100000.0,2400.0,Diesel,1000.0,2631.5789473684213,Manual,Small
Toyota,Land Cruiser Prado,2007,Crossover,202000.0,2700.0,Metan/Propan,14600.0,13466.666666666666,Automatic,Medium
Volkswagen,Polo,2017,Hatchback,170000.0,1422.0,Diesel,8200.0,34000.0,Manual,Large
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,8400.0,22000.0,Automatic,Medium
KIA,Rio,2004,Universal,183454.0,1300.0,Petrol,2500.0,10191.888888888889,Manual,Medium
BMW,X6,2013,Crossover,104000.0,2979.0,Petrol,30900.0,11555.555555555555,Automatic,Medium
Toyota,Corolla,2006,Hatchback,119000.0,1600.0,Petrol,5700.0,7437.5,Automatic,Small
Opel,Corsa,2007,Hatchback,283000.0,1300.0,Diesel,3499.0,18866.666666666668,Manual,Medium
Toyota,Auris,2017,Hatchback,146000.0,1800.0,Hybrid,11900.0,29200.0,Automatic,Medium
Nissan,Qashqai,2009,Crossover,202000.0,1990.0,Petrol,7100.0,15538.461538461539,Manual,Medium
Ford,C-Max,2016,Microvan,141000.0,1500.0,Diesel,9000.0,23500.0,Manual,Medium
Renault,Megane,2013,Minivan,220000.0,1500.0,Diesel,5000.0,24444.444444444445,Manual,Medium
Renault,Grand Scenic,2008,Hatchback,232012.0,1500.0,Diesel,3700.0,16572.285714285714,Manual,Medium
KIA,Sorento,2018,SUV,38999.0,2000.0,Diesel,24800.0,9749.75,Automatic,Small
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,10999.0,27375.0,Manual,Medium
Rare,Freelander,2007,SUV,300000.0,2200.0,Diesel,9200.0,20000.0,Automatic,Medium
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,18000.0,10714.285714285714,Manual,Medium
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,7900.0,11000.0,Automatic,Medium
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,4000.0,13888.888888888889,Manual,Medium
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,8600.0,25000.0,Manual,Medium
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,17850.0,15888.888888888889,Automatic,Medium
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,9650.0,19333.333333333332,Manual,Medium
Volkswagen,Golf,2009,Universal,200000.0,1400.0,Petrol,4800.0,15384.615384615385,Manual,Medium
Nissan,Qashqai,2007,Crossover,137660.0,1500.0,Diesel,6600.0,9177.333333333334,Manual,Small
Opel,Astra,2011,Universal,213548.0,1300.0,Diesel,5650.0,19413.454545454544,Manual,Medium
Toyota,Yaris,2006,Sedan,193096.0,1500.0,Petrol,3700.0,12068.5,Manual,Medium
Opel,Calibra,1992,Coupe,400000.0,2000.0,Metan/Propan,1600.0,13333.333333333334,Manual,Medium
Renault,Kadjar,2016,Crossover,150425.0,1500.0,Diesel,14990.0,25070.833333333332,Automatic,Medium
Ford,Fusion,2018,Sedan,105000.0,2000.0,Hybrid,15000.0,26250.0,Automatic,Medium
Volkswagen,Passat,2000,Combi,191000.0,1800.0,Metan/Propan,3850.0,8681.818181818182,Automatic,Small
Renault,Clio,1998,Hatchback,129448.0,1600.0,Petrol,2399.0,5393.666666666667,Automatic,Small
Renault,Grand Espace,2015,Minivan,168000.0,1600.0,Diesel,18650.0,24000.0,Automatic,Medium
Skoda,Yeti,2015,Crossover,150000.0,1400.0,Petrol,11000.0,21428.571428571428,Automatic,Medium
Rare,Discovery,2007,SUV,223000.0,2700.0,Diesel,15000.0,14866.666666666666,Automatic,Medium
Volkswagen,Sharan,2011,Universal,141000.0,1400.0,Petrol,9800.0,12818.181818181818,Manual,Medium
Volkswagen,Passat,2003,Sedan,250000.0,1922.0,Diesel,4600.0,13157.894736842105,Automatic,Medium
Mercedes,E Class,2006,Sedan,250000.0,2200.0,Diesel,9999.0,15625.0,Automatic,Medium
Opel,Astra,2011,Universal,176000.0,1300.0,Diesel,6000.0,16000.0,Manual,Medium
Renault,Grand Scenic,2014,Universal,167000.0,1500.0,Diesel,8600.0,20875.0,Automatic,Medium
BMW,7 Series,2008,Sedan,387000.0,300.0,Petrol,12000.0,27642.85714285714,Automatic,Medium
BMW,7 Series,2011,Sedan,180000.0,2999.0,Diesel,22000.0,16363.636363636364,Automatic,Medium
Peugeot,807,2006,Minivan,170000.0,2000.0,Diesel,2000.0,10625.0,Automatic,Medium
Honda,CR-V,2013,SUV,178500.0,2200.0,Diesel,15700.0,19833.333333333332,Manual,Medium
Skoda,Superb,2012,Sedan,265000.0,1800.0,Petrol,8999.0,26500.0,Automatic,Medium
Mercedes,E Class,2002,Sedan,331200.0,2200.0,Diesel,6399.0,16560.0,Automatic,Medium
Skoda,Superb,2017,Sedan,120000.0,1999.0,Petrol,23900.0,24000.0,Automatic,Medium
Volkswagen,Jetta,2013,Sedan,110000.0,1400.0,Hybrid,8000.0,12222.222222222223,Automatic,Medium
Hyundai,ix35,2010,Pickup,190000.0,2000.0,Diesel,12000.0,15833.333333333334,Automatic,Medium
Toyota,Prius c,2014,Hatchback,144947.0,1496.0,Hybrid,7499.0,18118.375,Automatic,Medium
Renault,Grand Scenic,2012,Universal,180000.0,1500.0,Diesel,7499.0,18000.0,Manual,Medium
BMW,X5,2012,SUV,157000.0,3000.0,Petrol,17499.0,15700.0,Automatic,Medium
Renault,Talisman,2016,Sedan,151130.0,1500.0,Diesel,12499.0,25188.333333333332,Manual,Medium
Renault,Megane,2006,Universal,170000.0,2000.0,Metan/Propan,2900.0,10625.0,Manual,Medium
Nissan,Juke,2011,SUV,155000.0,1600.0,Petrol,9300.0,14090.90909090909,Automatic,Medium
Rare,Trezia,2011,Hatchback,116000.0,1400.0,Diesel,7300.0,10545.454545454546,Automatic,Medium
Dacia,Logan,2007,Sedan,185000.0,1500.0,Diesel,3400.0,12333.333333333334,Manual,Medium
Nissan,X-Trail,2015,SUV,124000.0,1600.0,Diesel,13000.0,17714.285714285714,Automatic,Medium
Mercedes,C Class,2015,Universal,222000.0,2000.0,Plug-in Hybrid,17500.0,31714.285714285714,Automatic,Large
Toyota,Rav 4,2016,Crossover,133494.0,2494.0,Hybrid,21500.0,22249.0,Automatic,Medium
Mercedes,S Class,2001,Sedan,250830.0,4000.0,Diesel,4700.0,11944.285714285714,Automatic,Medium
Rare,on-DO,2016,Sedan,150000.0,1596.0,Metan/Propan,3200.0,25000.0,Manual,Medium
Rare,Ibiza,2011,Universal,190000.0,1200.0,Diesel,5100.0,17272.727272727272,Manual,Medium
Nissan,Juke,2012,Crossover,124000.0,1600.0,Petrol,9999.0,12400.0,Automatic,Medium
Audi,A4,1997,Sedan,300000.0,1800.0,Metan/Propan,2700.0,12000.0,Automatic,Medium
Opel,Astra,2012,Universal,200000.0,1300.0,Diesel,6000.0,20000.0,Manual,Medium
Rare,C5,2006,Universal,240000.0,1600.0,Diesel,2700.0,15000.0,Manual,Medium
